databaze,schemat,tabulka,sloupec,poradi_ve_tabulce,datovy_typ,max_delka,ciselna_presnost,ciselna_mista,je_nullovatelny,vychozi_hodnota,je_identity
postgres,auth,users,phone_confirmed_at,23,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,phone_change,24,text,null,null,null,true,''::character varying,false
postgres,auth,users,phone_change_token,25,character varying,255,null,null,true,''::character varying,false
postgres,auth,users,phone_change_sent_at,26,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,confirmed_at,27,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,email_change_token_current,28,character varying,255,null,null,true,''::character varying,false
postgres,auth,users,email_change_confirm_status,29,smallint,null,16,0,true,0,false
postgres,auth,users,banned_until,30,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,reauthentication_token,31,character varying,255,null,null,true,''::character varying,false
postgres,auth,users,reauthentication_sent_at,32,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,is_sso_user,33,boolean,null,null,null,false,false,false
postgres,auth,users,deleted_at,34,timestamp with time zone,null,null,null,true,null,false
postgres,auth,users,is_anonymous,35,boolean,null,null,null,false,false,false
postgres,extensions,pg_stat_statements,userid,1,oid,null,null,null,true,null,false
postgres,extensions,pg_stat_statements,dbid,2,oid,null,null,null,true,null,false
postgres,extensions,pg_stat_statements,toplevel,3,boolean,null,null,null,true,null,false
postgres,extensions,pg_stat_statements,queryid,4,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,query,5,text,null,null,null,true,null,false
postgres,extensions,pg_stat_statements,plans,6,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,total_plan_time,7,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,min_plan_time,8,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,max_plan_time,9,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,mean_plan_time,10,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,stddev_plan_time,11,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,calls,12,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,total_exec_time,13,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,min_exec_time,14,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,max_exec_time,15,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,mean_exec_time,16,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,stddev_exec_time,17,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,rows,18,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,shared_blks_hit,19,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,shared_blks_read,20,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,shared_blks_dirtied,21,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,shared_blks_written,22,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,local_blks_hit,23,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,local_blks_read,24,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,local_blks_dirtied,25,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,local_blks_written,26,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,temp_blks_read,27,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,temp_blks_written,28,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,shared_blk_read_time,29,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,shared_blk_write_time,30,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,local_blk_read_time,31,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,local_blk_write_time,32,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,temp_blk_read_time,33,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,temp_blk_write_time,34,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,wal_records,35,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,wal_fpi,36,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,wal_bytes,37,numeric,null,null,null,true,null,false
postgres,extensions,pg_stat_statements,jit_functions,38,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,jit_generation_time,39,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,jit_inlining_count,40,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,jit_inlining_time,41,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,jit_optimization_count,42,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,jit_optimization_time,43,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,jit_emission_count,44,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,jit_emission_time,45,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,jit_deform_count,46,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements,jit_deform_time,47,double precision,null,53,null,true,null,false
postgres,extensions,pg_stat_statements,stats_since,48,timestamp with time zone,null,null,null,true,null,false
postgres,extensions,pg_stat_statements,minmax_stats_since,49,timestamp with time zone,null,null,null,true,null,false
postgres,extensions,pg_stat_statements_info,dealloc,1,bigint,null,64,0,true,null,false
postgres,extensions,pg_stat_statements_info,stats_reset,2,timestamp with time zone,null,null,null,true,null,false
postgres,public,app_admins,user_id,1,uuid,null,null,null,false,null,false
postgres,public,app_admins,note,2,text,null,null,null,true,null,false
postgres,public,app_admins,created_at,3,timestamp with time zone,null,null,null,true,now(),false
postgres,public,audit_log,id,1,uuid,null,null,null,false,gen_random_uuid(),false
postgres,public,audit_log,created_at,2,timestamp with time zone,null,null,null,false,now(),false
postgres,public,audit_log,actor_user_id,3,uuid,null,null,null,true,null,false
postgres,public,audit_log,actor_subject_id,4,uuid,null,null,null,true,null,false
postgres,public,audit_log,actor_name,5,text,null,null,null,true,null,false
postgres,public,audit_log,actor_email,6,text,null,null,null,true,null,false
postgres,public,audit_log,origin_module,7,text,null,null,null,true,null,false
postgres,public,audit_log,origin_tile,8,text,null,null,null,true,null,false
postgres,public,audit_log,origin_action,9,text,null,null,null,true,null,false
postgres,public,audit_log,request_id,10,text,null,null,null,true,null,false
postgres,public,audit_log,ip,11,inet,null,null,null,true,null,false
postgres,public,audit_log,user_agent,12,text,null,null,null,true,null,false
postgres,public,audit_log,entity_type,13,text,null,null,null,false,null,false
postgres,public,audit_log,entity_id,14,uuid,null,null,null,true,null,false
